id_producto,nombre,categoria,subcategoria,marca,precio_lista,costo_unitario,fecha_alta
P0001,Abarrotes Arroz y cereales Buen Grano GP-158,Abarrotes,Arroz y cereales,Buen Grano,66.42,54.46,2021-12-20
P0002,Abarrotes Menestras Valle Real NJ-139,Abarrotes,Menestras,Valle Real,23.68,19.42,2021-01-06
P0003,Abarrotes Arroz y cereales Andes Selecto UX-698,Abarrotes,Arroz y cereales,Andes Selecto,43.01,35.27,2020-04-10
P0004,Abarrotes Menestras Valle Real PA-797,Abarrotes,Menestras,,3.0,2.46,2021-12-27
P0005,Abarrotes Menestras Valle Real SG-911,Abarrotes,Menestras,Valle Real,30.48,24.99,2020-06-30
P0006,Abarrotes Arroz y cereales Valle Real RU-707,Abarrotes,Arroz y cereales,Valle Real,35.95,29.48,2021-10-13
P0007,Abarrotes Snacks Valle Real WW-364,Abarrotes,Snacks,Valle Real,18.33,15.03,2022-10-22
P0008,Abarrotes Desayuno Casa Norte UV-681,Abarrotes,Desayuno,Casa Norte,49.32,40.44,2022-05-24
P0009,Abarrotes Conservas Valle Real SS-188,Abarrotes,Conservas,Valle Real,75.85,62.2,2022-05-21
P0010,Abarrotes Menestras Buen Grano TB-729,Abarrotes,Menestras,Buen Grano,72.24,59.24,2021-04-19
P0011,Abarrotes Arroz y cereales Valle Real BF-557,Abarrotes,Arroz y cereales,Valle Real,56.29,46.16,2021-03-27
P0012,Abarrotes Conservas Andes Selecto FH-698,Abarrotes,Conservas,Andes Selecto,56.67,46.47,2020-10-13
P0013,Abarrotes Menestras Andes Selecto FZ-689,Abarrotes,Menestras,Andes Selecto,40.46,33.18,2021-06-02
P0014,Abarrotes Menestras Buen Grano KE-846,Abarrotes,Menestras,Buen Grano,59.04,48.41,2020-07-26
P0015,Abarrotes Desayuno Buen Grano KO-880,Abarrotes,Desayuno,Buen Grano,50.48,41.39,2020-02-07
P0016,Abarrotes Conservas Valle Real QG-208,Abarrotes,Conservas,Valle Real,40.6,33.29,2021-04-05
P0017,Abarrotes Desayuno Valle Real JE-967,Abarrotes,Desayuno,Valle Real,54.7,44.85,2022-05-24
P0018,Abarrotes Menestras Casa Norte RE-317,Abarrotes,Menestras,Casa Norte,2.14,1.75,2021-04-01
P0019,Abarrotes Arroz y cereales Casa Norte ZQ-848,Abarrotes,Arroz y cereales,Casa Norte,42.51,34.86,2022-04-04
P0020,Abarrotes Conservas Buen Grano SE-488,Abarrotes,Conservas,Buen Grano,9.29,7.62,2021-07-01
P0021,Abarrotes Arroz y cereales Casa Norte SR-663,Abarrotes,Arroz y cereales,Casa Norte,79.2,64.94,2021-01-21
P0022,Abarrotes Arroz y cereales Valle Real PM-002,Abarrotes,Arroz y cereales,Valle Real,58.95,48.34,2021-01-27
P0023,Abarrotes Snacks Valle Real XM-787,Abarrotes,Snacks,Valle Real,46.23,37.91,2021-10-26
P0024,Abarrotes Menestras Andes Selecto GX-477,Abarrotes,Menestras,Andes Selecto,76.76,62.94,2022-04-28
P0025,Abarrotes Desayuno Casa Norte QC-768,Abarrotes,Desayuno,Casa Norte,50.43,41.35,2020-11-22
P0026,Abarrotes Arroz y cereales Andes Selecto ZG-457,Abarrotes,Arroz y cereales,Andes Selecto,3.84,3.15,2022-11-03
P0027,Abarrotes Arroz y cereales Valle Real CL-784,Abarrotes,Arroz y cereales,Valle Real,23.97,19.66,2020-04-21
P0028,Abarrotes Snacks Andes Selecto PR-671,Abarrotes,Snacks,Andes Selecto,9.25,7.59,2021-06-18
P0029,Abarrotes Conservas Andes Selecto MV-751,Abarrotes,Conservas,Andes Selecto,49.14,40.29,2022-10-19
P0030,Abarrotes Menestras Buen Grano AF-627,Abarrotes,Menestras,Buen Grano,45.99,37.71,2021-10-21
P0031,Abarrotes Menestras Casa Norte IF-079,Abarrotes,Menestras,Casa Norte,73.63,60.38,2020-07-08
P0032,Abarrotes Arroz y cereales Valle Real HN-933,Abarrotes,Arroz y cereales,Valle Real,63.44,52.02,2022-10-29
P0033,Abarrotes Menestras Buen Grano QW-084,Abarrotes,Menestras,Buen Grano,53.45,43.83,2020-03-17
P0034,Abarrotes Menestras Casa Norte UQ-520,Abarrotes,Menestras,Casa Norte,20.19,16.56,2022-10-02
P0035,Abarrotes Snacks Buen Grano SU-997,Abarrotes,Snacks,Buen Grano,65.51,53.72,2021-06-03
P0036,Abarrotes Arroz y cereales Casa Norte EL-283,Abarrotes,Arroz y cereales,Casa Norte,33.42,27.4,2021-11-05
P0037,Abarrotes Arroz y cereales Casa Norte SF-298,Abarrotes,Arroz y cereales,Casa Norte,7.28,5.97,2020-11-07
P0038,Abarrotes Snacks Buen Grano YY-622,Abarrotes,Snacks,Buen Grano,51.01,41.83,2022-07-28
P0039,Abarrotes Desayuno Valle Real AY-948,Abarrotes,Desayuno,Valle Real,53.15,43.58,2021-10-20
P0040,Abarrotes Conservas Buen Grano YA-283,Abarrotes,Conservas,Buen Grano,12.01,9.85,2022-01-02
P0041,Abarrotes Menestras Valle Real DW-161,Abarrotes,Menestras,Valle Real,4.55,3.73,2021-04-07
P0042,Abarrotes Arroz y cereales Casa Norte GE-500,Abarrotes,Arroz y cereales,Casa Norte,20.07,16.46,2021-08-31
P0043,Abarrotes Desayuno Buen Grano UH-547,Abarrotes,Desayuno,Buen Grano,53.45,43.83,2022-12-24
P0044,Abarrotes Desayuno Buen Grano NZ-779,Abarrotes,Desayuno,Buen Grano,26.86,22.03,2021-01-24
P0045,Abarrotes Desayuno Valle Real HN-229,Abarrotes,Desayuno,Valle Real,11.19,9.18,2021-05-12
P0046,Abarrotes Snacks Valle Real DM-695,Abarrotes,Snacks,Valle Real,38.89,31.89,2022-06-17
P0047,Abarrotes Conservas Buen Grano ZC-318,Abarrotes,Conservas,Buen Grano,76.76,62.94,2022-10-11
P0048,Abarrotes Snacks Buen Grano PI-320,Abarrotes,Snacks,Buen Grano,71.38,58.53,2022-03-27
P0049,Abarrotes Arroz y cereales Andes Selecto ET-073,Abarrotes,Arroz y cereales,Andes Selecto,52.71,43.22,2022-02-13
P0050,Abarrotes Snacks Casa Norte NY-028,Abarrotes,Snacks,Casa Norte,28.82,23.63,2022-07-12
P0051,Abarrotes Snacks Buen Grano QL-822,Abarrotes,Snacks,Buen Grano,49.14,40.29,2021-07-29
P0052,Abarrotes Menestras Andes Selecto IA-646,Abarrotes,Menestras,Andes Selecto,29.54,24.22,2020-04-21
P0053,Abarrotes Conservas Casa Norte LW-164,Abarrotes,Conservas,Casa Norte,18.89,15.49,2020-02-18
P0054,Abarrotes Arroz y cereales Buen Grano FX-247,Abarrotes,Arroz y cereales,Buen Grano,9.88,8.1,2021-02-06
P0055,Abarrotes Snacks Valle Real LU-647,Abarrotes,Snacks,Valle Real,73.33,60.13,2021-01-29
P0056,Abarrotes Conservas Andes Selecto HH-877,Abarrotes,,Andes Selecto,20.62,16.91,2021-10-04
P0057,Abarrotes Snacks Buen Grano NO-841,Abarrotes,Snacks,Buen Grano,11.96,9.81,2020-09-22
P0058,Abarrotes Snacks Valle Real PV-017,Abarrotes,Snacks,Valle Real,16.33,13.39,2021-04-08
P0059,Abarrotes Snacks Casa Norte BW-682,Abarrotes,Snacks,Casa Norte,45.23,37.09,2020-10-30
P0060,Abarrotes Menestras Andes Selecto RK-258,Abarrotes,Menestras,Andes Selecto,62.95,51.62,2020-09-20
P0061,Abarrotes Conservas Valle Real NT-831,Abarrotes,Conservas,Valle Real,5.36,4.4,2021-08-21
P0062,Abarrotes Desayuno Buen Grano UN-489,Abarrotes,Desayuno,Buen Grano,11.4,9.35,2020-02-03
P0063,Abarrotes Snacks Valle Real RQ-949,Abarrotes,Snacks,Valle Real,18.21,14.93,2020-07-11
P0064,Abarrotes Conservas Valle Real YQ-821,Abarrotes,Conservas,Valle Real,76.71,62.9,2021-09-14
P0065,Abarrotes Arroz y cereales Casa Norte GR-162,Abarrotes,Arroz y cereales,Casa Norte,7.76,6.36,2022-08-08
P0066,Abarrotes Desayuno Valle Real PO-052,Abarrotes,Desayuno,Valle Real,65.29,53.54,2020-07-02
P0067,Abarrotes Desayuno Valle Real RL-185,Abarrotes,Desayuno,Valle Real,57.99,47.55,2020-07-16
P0068,Abarrotes Snacks Andes Selecto KQ-145,Abarrotes,Snacks,Andes Selecto,78.41,64.3,2022-07-21
P0069,Abarrotes Snacks Valle Real AX-410,Abarrotes,Snacks,Valle Real,51.01,41.83,2021-06-05
P0070,Abarrotes Snacks Buen Grano DG-460,Abarrotes,Snacks,Buen Grano,53.71,44.04,2020-03-28
P0071,Abarrotes Menestras Valle Real HG-304,Abarrotes,Menestras,Valle Real,14.59,11.96,2022-12-12
P0072,Abarrotes Menestras Andes Selecto UX-895,Abarrotes,Menestras,Andes Selecto,47.01,38.55,2021-05-21
P0073,Abarrotes Menestras Buen Grano CZ-799,Abarrotes,Menestras,Buen Grano,40.9,33.54,2021-03-16
P0074,Abarrotes Desayuno Buen Grano MD-593,Abarrotes,Desayuno,Buen Grano,24.53,20.11,2020-07-13
P0075,Abarrotes Desayuno Valle Real GR-615,Abarrotes,Desayuno,Valle Real,62.4,51.17,2022-03-02
P0076,Abarrotes Snacks Andes Selecto WD-464,Abarrotes,Snacks,Andes Selecto,60.07,49.26,2020-08-14
P0077,Abarrotes Menestras Casa Norte SV-604,Abarrotes,Menestras,Casa Norte,62.08,50.91,2021-08-07
P0078,Abarrotes Arroz y cereales Valle Real XA-414,Abarrotes,Arroz y cereales,Valle Real,71.84,58.91,2020-08-20
P0079,Abarrotes Conservas Casa Norte IV-590,Abarrotes,Conservas,Casa Norte,18.03,14.78,2020-10-25
P0080,Abarrotes Menestras Andes Selecto UH-380,Abarrotes,Menestras,Andes Selecto,34.47,28.27,2020-10-14
P0081,Abarrotes Snacks Andes Selecto HC-291,Abarrotes,Snacks,Andes Selecto,23.98,19.66,2021-01-31
P0082,Abarrotes Conservas Valle Real MP-285,Abarrotes,Conservas,Valle Real,47.86,39.25,2022-10-04
P0083,Abarrotes Snacks Andes Selecto LI-406,Abarrotes,Snacks,Andes Selecto,35.35,28.99,2021-11-12
P0084,Abarrotes Menestras Andes Selecto YP-566,Abarrotes,Menestras,Andes Selecto,43.53,35.69,2021-11-29
P0085,Abarrotes Desayuno Valle Real LI-632,Abarrotes,Desayuno,Valle Real,26.24,21.52,2021-07-24
P0086,Abarrotes Menestras Andes Selecto ZQ-088,Abarrotes,Menestras,Andes Selecto,45.13,37.01,2022-12-05
P0087,Abarrotes Conservas Casa Norte BR-230,Abarrotes,Conservas,Casa Norte,3.19,2.62,2020-01-30
P0088,Abarrotes Conservas Casa Norte QU-876,Abarrotes,Conservas,Casa Norte,46.42,38.06,2022-08-05
P0089,Abarrotes Snacks Valle Real LJ-291,Abarrotes,Snacks,Valle Real,30.77,25.23,2021-06-21
P0090,Abarrotes Conservas Buen Grano VO-084,Abarrotes,Conservas,Buen Grano,30.53,25.03,2022-01-13
P0091,Abarrotes Conservas Valle Real QA-850,Abarrotes,Conservas,Valle Real,62.59,51.32,2020-01-10
P0092,Abarrotes Desayuno Casa Norte OR-370,Abarrotes,Desayuno,Casa Norte,39.82,32.65,2022-12-25
P0093,Abarrotes Menestras Andes Selecto TX-826,Abarrotes,Menestras,Andes Selecto,3.94,3.23,2020-05-10
P0094,Abarrotes Menestras Valle Real VM-384,Abarrotes,Menestras,Valle Real,11.18,9.17,2020-03-24
P0095,Abarrotes Conservas Andes Selecto OD-557,Abarrotes,Conservas,Andes Selecto,79.38,65.09,2020-01-31
P0096,Abarrotes Arroz y cereales Valle Real TM-879,Abarrotes,Arroz y cereales,Valle Real,73.44,60.22,2020-04-30
P0097,Abarrotes Conservas Buen Grano FA-262,Abarrotes,Conservas,Buen Grano,59.71,48.96,2020-02-16
P0098,Abarrotes Conservas Andes Selecto YC-586,Abarrotes,Conservas,Andes Selecto,78.14,64.07,2022-10-20
P0099,Abarrotes Menestras Buen Grano XI-214,Abarrotes,Menestras,Buen Grano,78.97,64.76,2022-07-29
P0100,Abarrotes Menestras Andes Selecto BI-421,Abarrotes,Menestras,Andes Selecto,63.26,51.87,2021-04-26
P0101,Abarrotes Conservas Buen Grano KC-394,Abarrotes,Conservas,Buen Grano,17.64,14.46,2022-05-01
P0102,Abarrotes Menestras Andes Selecto HZ-668,Abarrotes,Menestras,Andes Selecto,70.3,57.65,2020-01-19
P0103,Abarrotes Arroz y cereales Buen Grano FJ-281,Abarrotes,Arroz y cereales,Buen Grano,5.6,4.59,2020-03-04
P0104,Abarrotes Desayuno Buen Grano QT-658,Abarrotes,Desayuno,Buen Grano,59.51,48.8,2022-12-31
P0105,Abarrotes Arroz y cereales Valle Real KS-093,Abarrotes,Arroz y cereales,Valle Real,48.13,39.47,2020-06-01
P0106,Abarrotes Arroz y cereales Buen Grano WI-484,Abarrotes,Arroz y cereales,Buen Grano,27.82,22.81,2020-04-28
P0107,Abarrotes Desayuno Valle Real MP-630,Abarrotes,Desayuno,Valle Real,60.96,49.99,2022-09-13
P0108,Abarrotes Arroz y cereales Valle Real ZX-765,Abarrotes,Arroz y cereales,Valle Real,56.4,46.25,2020-05-07
P0109,Abarrotes Arroz y cereales Casa Norte BL-828,Abarrotes,Arroz y cereales,Casa Norte,70.61,57.9,2022-05-29
P0110,Abarrotes Snacks Valle Real KB-582,Abarrotes,Snacks,Valle Real,42.72,35.03,2022-12-13
P0111,Abarrotes Snacks Casa Norte XE-180,Abarrotes,Snacks,Casa Norte,34.54,28.32,2021-06-04
P0112,Abarrotes Conservas Valle Real IJ-543,Abarrotes,Conservas,Valle Real,35.6,29.19,2022-09-25
P0113,Abarrotes Arroz y cereales Buen Grano IG-993,Abarrotes,Arroz y cereales,Buen Grano,40.77,33.43,2020-03-08
P0114,Abarrotes Arroz y cereales Valle Real UE-571,Abarrotes,Arroz y cereales,Valle Real,41.79,34.27,2020-05-19
P0115,Abarrotes Menestras Buen Grano TP-649,Abarrotes,Menestras,Buen Grano,59.91,49.13,2021-06-03
P0116,Abarrotes Conservas Casa Norte FH-157,Abarrotes,Conservas,Casa Norte,43.6,35.75,2020-01-11
P0117,Abarrotes Menestras Andes Selecto WR-883,Abarrotes,Menestras,Andes Selecto,26.97,22.12,2020-02-15
P0118,Abarrotes Menestras Buen Grano FE-795,Abarrotes,Menestras,Buen Grano,37.8,31.0,2021-03-05
P0119,Abarrotes Arroz y cereales Andes Selecto QW-174,Abarrotes,Arroz y cereales,Andes Selecto,16.28,13.35,2022-08-02
P0120,Abarrotes Desayuno Casa Norte BG-325,Abarrotes,Desayuno,Casa Norte,71.04,58.25,2021-07-15
P0121,Abarrotes Snacks Casa Norte UQ-855,Abarrotes,Snacks,Casa Norte,17.07,14.0,2020-03-02
P0122,Abarrotes Conservas Casa Norte LM-765,Abarrotes,Conservas,Casa Norte,9.61,7.88,2021-07-30
P0123,Abarrotes Arroz y cereales Andes Selecto WY-735,Abarrotes,Arroz y cereales,Andes Selecto,67.64,55.46,2022-03-21
P0124,Abarrotes Desayuno Valle Real YN-569,Abarrotes,Desayuno,Valle Real,57.11,46.83,2021-02-24
P0125,Abarrotes Snacks Buen Grano QV-279,Abarrotes,Snacks,Buen Grano,60.32,49.46,2021-02-09
P0126,Abarrotes Conservas Buen Grano VH-264,Abarrotes,Conservas,Buen Grano,71.65,58.75,2021-06-03
P0127,Abarrotes Conservas Casa Norte QJ-547,Abarrotes,Conservas,Casa Norte,26.18,21.47,2022-05-29
P0128,Abarrotes Desayuno Valle Real VJ-843,Abarrotes,Desayuno,Valle Real,55.23,45.29,2021-03-12
P0129,Abarrotes Menestras Buen Grano SK-814,Abarrotes,Menestras,Buen Grano,33.33,27.33,2022-07-16
P0130,Abarrotes Desayuno Casa Norte BJ-766,Abarrotes,Desayuno,Casa Norte,76.93,63.08,2021-05-25
P0131,Abarrotes Desayuno Casa Norte GR-565,Abarrotes,Desayuno,Casa Norte,72.22,59.22,2021-04-23
P0132,Abarrotes Desayuno Casa Norte NB-788,Abarrotes,Desayuno,Casa Norte,52.57,43.11,2020-06-10
P0133,Abarrotes Conservas Buen Grano ZU-550,Abarrotes,Conservas,Buen Grano,43.24,35.46,2022-05-03
P0134,Abarrotes Menestras Buen Grano JS-204,Abarrotes,Menestras,Buen Grano,14.54,11.92,2020-08-08
P0135,Abarrotes Snacks Casa Norte LP-425,Abarrotes,Snacks,Casa Norte,13.67,11.21,2022-05-14
P0136,Abarrotes Snacks Andes Selecto EV-967,Abarrotes,Snacks,Andes Selecto,34.16,28.01,2020-03-25
P0137,Abarrotes Menestras Andes Selecto OH-003,Abarrotes,Menestras,Andes Selecto,53.51,43.88,2021-11-24
P0138,Abarrotes Conservas Valle Real XN-450,Abarrotes,Conservas,Valle Real,24.34,19.96,2021-05-27
P0139,Abarrotes Conservas Buen Grano NO-784,Abarrotes,Conservas,Buen Grano,53.3,43.71,2020-09-30
P0140,Abarrotes Arroz y cereales Valle Real SM-518,Abarrotes,Arroz y cereales,Valle Real,63.04,51.69,2022-05-01
P0141,Abarrotes Conservas Casa Norte JV-801,Abarrotes,Conservas,Casa Norte,31.69,25.99,2021-10-01
P0142,Abarrotes Desayuno Valle Real MR-373,Abarrotes,Desayuno,Valle Real,79.52,65.21,2020-04-12
P0143,Abarrotes Menestras Andes Selecto KA-241,Abarrotes,Menestras,Andes Selecto,31.16,25.55,2020-12-16
P0144,Abarrotes Arroz y cereales Casa Norte IG-898,Abarrotes,Arroz y cereales,Casa Norte,39.9,32.72,2022-07-04
P0145,Abarrotes Conservas Casa Norte CL-046,Abarrotes,Conservas,Casa Norte,13.28,10.89,2020-09-23
P0146,Abarrotes Desayuno Andes Selecto EQ-883,Abarrotes,Desayuno,Andes Selecto,20.43,16.75,2021-01-29
P0147,Abarrotes Desayuno Buen Grano UM-555,Abarrotes,Desayuno,Buen Grano,4.35,3.57,2020-07-07
P0148,Abarrotes Menestras Casa Norte UQ-747,Abarrotes,Menestras,Casa Norte,5.78,4.74,2021-06-03
P0149,Abarrotes Arroz y cereales Valle Real BE-072,Abarrotes,Arroz y cereales,Valle Real,25.78,21.14,2021-11-12
P0150,Abarrotes Conservas Valle Real MX-547,Abarrotes,Conservas,Valle Real,48.67,39.91,2022-10-16
P0151,Abarrotes Menestras Andes Selecto TN-486,Abarrotes,Menestras,Andes Selecto,61.06,50.07,2020-02-16
P0152,Abarrotes Conservas Valle Real EU-906,Abarrotes,Conservas,Valle Real,31.63,25.94,2021-10-18
P0153,Abarrotes Arroz y cereales Buen Grano EN-884,Abarrotes,Arroz y cereales,Buen Grano,55.19,45.26,2020-06-02
P0154,Abarrotes Conservas Valle Real MU-188,Abarrotes,Conservas,Valle Real,50.21,41.17,2022-06-29
P0155,Abarrotes Snacks Buen Grano XL-755,Abarrotes,Snacks,Buen Grano,19.0,15.58,2021-11-30
P0156,Abarrotes Conservas Buen Grano WQ-182,Abarrotes,Conservas,Buen Grano,4.64,3.8,2021-03-09
P0157,Abarrotes Menestras Andes Selecto OG-886,Abarrotes,Menestras,Andes Selecto,53.69,44.03,2020-09-18
P0158,Abarrotes Conservas Buen Grano DP-930,Abarrotes,Conservas,Buen Grano,7.84,6.43,2022-02-28
P0159,Abarrotes Conservas Buen Grano HI-368,Abarrotes,Conservas,Buen Grano,18.71,15.34,2021-03-08
P0160,Abarrotes Desayuno Andes Selecto XT-834,Abarrotes,Desayuno,Andes Selecto,55.77,45.73,2022-09-20
P0161,Abarrotes Menestras Valle Real RU-728,Abarrotes,Menestras,Valle Real,4.0,3.28,2022-09-24
P0162,Abarrotes Snacks Casa Norte NU-568,Abarrotes,Snacks,Casa Norte,8.42,6.9,2021-09-08
P0163,Abarrotes Conservas Buen Grano MJ-832,Abarrotes,Conservas,Buen Grano,2.48,2.03,2020-04-21
P0164,Abarrotes Menestras Casa Norte ZZ-222,Abarrotes,Menestras,Casa Norte,64.61,52.98,2021-11-03
P0165,Abarrotes Desayuno Valle Real RY-900,Abarrotes,Desayuno,Valle Real,20.1,16.48,2021-09-23
P0166,Abarrotes Conservas Buen Grano RI-422,Abarrotes,Conservas,Buen Grano,74.66,61.22,2020-03-05
P0167,Abarrotes Arroz y cereales Casa Norte KL-527,Abarrotes,Arroz y cereales,Casa Norte,48.97,40.16,2022-03-06
P0168,Abarrotes Arroz y cereales Andes Selecto AP-022,Abarrotes,Arroz y cereales,Andes Selecto,74.7,61.25,2020-04-01
P0169,Abarrotes Menestras Andes Selecto BT-978,Abarrotes,Menestras,Andes Selecto,13.36,10.96,2022-09-18
P0170,Abarrotes Snacks Andes Selecto IF-385,Abarrotes,Snacks,Andes Selecto,34.1,27.96,2020-11-26
P0171,Abarrotes Conservas Valle Real UJ-762,Abarrotes,Conservas,Valle Real,56.61,46.42,2021-08-30
P0172,Abarrotes Menestras Buen Grano AD-807,Abarrotes,Menestras,Buen Grano,40.68,33.36,2022-06-09
P0173,Abarrotes Snacks Valle Real TS-159,Abarrotes,Snacks,Valle Real,17.18,14.09,2020-02-07
P0174,Abarrotes Snacks Casa Norte KG-450,Abarrotes,Snacks,Casa Norte,49.49,40.58,2020-08-28
P0175,Abarrotes Arroz y cereales Buen Grano QB-316,Abarrotes,Arroz y cereales,Buen Grano,77.13,63.25,2020-10-28
P0176,Abarrotes Arroz y cereales Casa Norte OQ-323,Abarrotes,Arroz y cereales,Casa Norte,53.6,43.95,2020-08-15
P0177,Abarrotes Conservas Valle Real KI-735,Abarrotes,Conservas,Valle Real,12.03,9.86,2021-08-17
P0178,Abarrotes Desayuno Casa Norte XT-667,Abarrotes,Desayuno,Casa Norte,19.36,15.88,2022-03-12
P0179,Abarrotes Desayuno Andes Selecto JM-347,Abarrotes,Desayuno,Andes Selecto,67.71,55.52,2021-05-23
P0180,Abarrotes Menestras Casa Norte VM-713,Abarrotes,Menestras,Casa Norte,42.34,34.72,2022-10-15
P0181,Abarrotes Menestras Andes Selecto TR-115,Abarrotes,Menestras,Andes Selecto,12.42,10.18,2021-01-03
P0182,Abarrotes Menestras Andes Selecto LN-921,Abarrotes,Menestras,Andes Selecto,2.34,1.92,2022-01-19
P0183,Abarrotes Arroz y cereales Valle Real BJ-636,Abarrotes,Arroz y cereales,Valle Real,33.5,27.47,2021-04-11
P0184,Abarrotes Snacks Casa Norte VX-244,Abarrotes,Snacks,Casa Norte,70.33,57.67,2020-08-01
P0185,Abarrotes Desayuno Valle Real HD-607,Abarrotes,Desayuno,Valle Real,66.49,54.52,2020-06-16
P0186,Abarrotes Desayuno Casa Norte IG-457,Abarrotes,Desayuno,Casa Norte,22.19,18.2,2022-08-27
P0187,Abarrotes Menestras Casa Norte WD-283,Abarrotes,Menestras,Casa Norte,19.98,16.38,2020-08-15
P0188,Abarrotes Conservas Andes Selecto DS-699,Abarrotes,Conservas,Andes Selecto,39.76,32.6,2020-07-13
P0189,Abarrotes Desayuno Andes Selecto RF-854,Abarrotes,Desayuno,Andes Selecto,76.63,62.84,2022-11-19
P0190,Abarrotes Arroz y cereales Andes Selecto IY-775,Abarrotes,Arroz y cereales,Andes Selecto,67.37,55.24,2021-06-28
P0191,Abarrotes Arroz y cereales Andes Selecto RS-881,Abarrotes,Arroz y cereales,Andes Selecto,48.57,39.83,2021-08-15
P0192,Abarrotes Menestras Andes Selecto CE-019,Abarrotes,Menestras,Andes Selecto,56.49,46.32,2022-04-10
P0193,Abarrotes Desayuno Casa Norte GY-879,Abarrotes,Desayuno,Casa Norte,63.88,52.38,2021-11-08
P0194,Abarrotes Menestras Andes Selecto EI-979,Abarrotes,Menestras,Andes Selecto,10.38,8.51,2021-01-18
P0195,Abarrotes Conservas Andes Selecto IB-025,Abarrotes,Conservas,Andes Selecto,69.95,57.36,2022-03-25
P0196,Abarrotes Conservas Buen Grano KI-161,Abarrotes,,Buen Grano,25.87,21.21,2022-09-06
P0197,Abarrotes Conservas Andes Selecto VE-400,Abarrotes,Conservas,Andes Selecto,24.62,20.19,2021-01-25
P0198,Abarrotes Conservas Andes Selecto UV-981,Abarrotes,Conservas,Andes Selecto,35.52,29.13,2020-04-23
P0199,Abarrotes Conservas Casa Norte PU-247,Abarrotes,Conservas,Casa Norte,34.28,28.11,2020-12-11
